400 32034
0 143 9046
0 31 2485
0 390 2437
0 384 3030
0 82 7107
0 272 7331
0 385 5334
0 362 5893
0 298 6548
0 205 9054
0 374 6625
0 56 4850
0 181 620
0 318 8513
0 189 6107
0 196 1673
0 302 2434
0 85 2887
0 286 4832
0 211 5971
0 214 9171
0 350 2540
0 118 8706
0 231 8677
0 49 7112
0 332 2670
0 35 6853
0 115 4609
0 311 3390
0 141 654
0 5 2046
0 70 8660
0 245 3907
0 312 7883
0 67 7332
0 131 4991
0 347 351
0 159 6367
0 158 6251
0 209 2298
0 355 3698
0 254 1319
0 208 6894
0 216 7534
0 269 7084
0 27 7052
0 265 4673
0 194 9879
0 305 209
0 151 7199
0 123 3136
0 386 5519
0 103 7669
0 299 6221
0 178 8028
0 244 8737
0 330 4905
0 96 4504
0 28 1571
0 33 8654
0 187 8770
0 221 8218
0 397 1699
0 163 633
0 29 9217
0 331 3127
0 108 6536
0 240 9093
0 354 446
0 229 134
0 152 1520
0 128 6177
0 382 6043
0 219 5581
0 364 524
0 252 2665
0 295 9821
0 116 3311
0 308 4436
0 310 5491
0 86 9748
0 167 5441
0 76 5536
1 51 3532
1 241 1418
1 282 9625
1 290 9020
1 186 5561
1 308 6763
1 293 4730
1 14 1273
1 107 9885
1 166 4539
1 399 7177
1 235 7873
1 88 439
1 53 7869
1 389 6274
1 190 4355
1 69 1575
1 305 5462
1 239 5489
1 180 1920
1 298 2619
1 42 6362
1 395 9387
1 120 9406
1 316 6872
1 307 3999
1 89 3950
1 346 1557
1 226 1057
1 304 493
1 175 6784
1 359 2371
1 10 1946
1 283 9752
1 28 556
1 133 407
1 201 531
1 74 42
1 388 1782
1 111 6631
1 163 8536
1 248 3702
1 197 9217
1 25 1321
1 360 8232
1 138 2114
1 250 7610
1 36 3662
1 211 6510
1 119 8158
1 164 9195
1 274 6268
1 105 4669
1 162 3821
1 207 1577
1 150 1414
1 351 9101
1 366 8918
1 158 7828
1 309 5274
1 228 958
1 281 5340
1 371 8423
1 132 4012
1 178 7048
1 320 7981
1 215 2236
1 242 6030
1 391 2542
1 206 4206
1 131 7668
1 383 7790
1 247 2892
1 324 8737
1 64 9807
1 169 5143
1 374 5083
2 254 2917
2 43 8632
2 309 1551
2 81 3398
2 67 6304
2 122 4833
2 104 7219
2 335 3085
2 151 995
2 294 8370
2 121 989
2 167 8183
2 19 6474
2 367 5203
2 224 5787
2 348 5311
2 7 3360
2 351 8815
2 59 95
2 376 8748
2 349 1406
2 115 9241
2 195 2115
2 128 6345
2 240 9415
2 188 6875
2 61 4682
2 102 9663
2 101 8352
2 345 3807
2 165 453
2 177 3410
2 141 1772
2 265 6481
2 94 4679
2 220 9318
2 110 9390
2 325 7737
2 375 6551
2 131 9130
2 221 8504
2 291 4422
2 124 5879
2 332 3556
2 107 2556
2 314 6548
2 111 2049
2 257 7872
2 373 8003
2 187 6494
2 242 2951
2 289 3201
2 98 5285
2 280 1269
2 267 5446
2 284 1200
2 60 98
2 193 5789
2 23 7163
2 290 7238
2 156 7945
2 106 1943
2 235 220
2 336 6347
2 130 3004
2 137 3683
2 245 7037
2 389 6104
2 87 7179
2 25 2780
2 163 2642
2 158 1878
2 185 8772
2 322 711
2 333 3411
3 121 1250
3 353 8211
3 46 2410
3 204 7557
3 132 8578
3 399 4252
3 384 9715
