1000 2000
0 742
755 173 5162
507 518 4139
242 654 4816
146 703 9988
490 707 7482
968 957 814
486 717 1377
940 975 359
986 952 9088
617 989 5927
128 172 2583
101 400 2886
819 969 8280
321 726 3853
960 938 9106
918 553 574
677 571 2002
142 525 75
936 448 813
226 982 4338
579 531 3797
675 507 3815
109 2 1324
34 35 7702
344 109 9712
514 305 7897
322 705 9951
861 278 6674
100 845 7995
499 23 2637
144 648 8591
578 941 8036
708 618 1523
649 702 435
361 991 5982
256 640 6211
2 291 9254
245 630 5683
729 19 4967
239 764 7165
164 489 228
53 803 3941
926 702 6275
957 710 1737
172 256 8467
797 269 2460
587 609 8117
760 214 8197
506 787 7798
8 367 5899
980 641 6934
12 442 6362
453 437 2442
181 328 5338
606 854 2291
149 285 8008
750 194 4853
985 900 5180
704 962 8546
139 271 7603
157 569 6088
161 866 7228
357 358 9656
904 220 8769
662 511 2667
625 116 3139
86 456 4636
565 617 4452
364 435 697
893 967 9449
187 905 235
108 714 8895
668 355 8523
203 710 8393
609 85 2823
757 122 4944
307 946 4845
383 297 7033
696 5 8166
590 137 9273
720 607 7755
676 597 9357
598 506 5235
434 412 5926
516 7 221
144 145 1154
457 96 1166
730 942 648
64 596 5640
734 290 3872
196 468 2170
744 106 9788
543 77 1650
508 429 8253
213 303 8809
519 383 6228
583 314 5398
907 508 5096
207 86 8954
636 314 7381
844 7 8203
392 473 6512
410 273 6750
31 594 8624
121 42 7722
143 581 2651
616 913 6492
718 729 1206
302 128 9387
738 313 124
72 30 9490
273 635 7499
916 273 3467
945 38 2057
937 220 729
101 98 9126
878 182 3108
950 988 4314
268 369 5819
788 779 3481
991 179 9272
992 507 8058
74 959 1455
99 50 2207
828 794 5434
199 117 53
874 632 294
463 435 7696
365 80 7683
129 275 5638
922 589 8284
326 634 4889
544 306 3739
942 873 3317
827 791 3739
949 340 3595
512 289 5408
795 665 2393
194 102 4679
298 582 8317
611 585 4221
292 986 5539
349 928 6615
535 534 6514
152 910 6944
112 998 8857
836 694 2540
899 195 5336
115 520 3494
131 705 7437
872 992 1463
106 976 2863
716 214 7528
8 549 6898
678 934 1033
943 294 5380
237 286 671
463 878 3290
860 849 504
654 116 2984
303 14 1772
656 429 4994
262 827 2254
536 707 7774
761 178 4007
923 422 5533
110 93 7269
275 248 9027
142 448 2506
134 709 7870
47 510 6987
455 343 8749
198 316 364
710 423 1008
269 861 8665
509 506 31
