500 1227
0 289
314 95 5811
182 241 2136
234 305 5797
126 272 302
102 73 8013
178 66 4498
206 56 8654
36 476 9566
471 488 1666
8 150 7282
401 210 6254
58 360 4474
18 358 7376
44 304 6124
255 318 1190
78 314 6135
485 291 4101
419 390 3203
384 207 6582
292 88 1276
233 352 2472
282 17 9599
116 139 7891
424 84 311
75 66 8642
237 58 467
85 280 5953
417 394 3937
459 287 1722
298 458 9215
70 430 9295
356 12 2073
127 366 262
376 342 5369
76 425 2333
451 91 6692
418 286 9475
23 468 2619
425 201 7984
491 355 8179
405 38 2636
133 70 1530
456 105 4840
258 489 6912
177 479 5405
317 221 8920
281 352 5671
345 272 2887
486 384 6768
123 162 5806
281 189 2775
72 138 1517
178 371 1580
186 28 3593
110 340 2325
68 222 4315
165 159 5949
124 376 8315
32 436 159
236 337 237
231 329 6220
229 33 3542
360 285 7815
360 150 3821
83 376 2008
491 325 8169
283 396 7981
200 19 8221
238 334 7323
258 262 1955
293 430 5906
191 17 5372
399 280 9067
47 233 2371
444 82 2231
35 181 5253
50 387 2244
229 157 8175
148 374 5656
22 125 980
441 137 8066
149 53 6926
1 246 5028
105 153 3950
127 165 8706
278 394 3017
454 72 5502
320 39 9418
271 225 5342
275 417 29
438 433 871
81 442 876
381 14 7374
150 429 2346
495 499 700
443 120 4027
328 120 9204
430 494 9120
431 52 6302
97 25 4783
90 283 5023
266 4 2671
451 73 7012
484 491 9335
234 227 2648
456 30 6039
325 422 4003
183 408 1961
327 368 3453
10 318 1856
268 364 6423
420 93 859
46 143 2210
253 312 4690
261 225 4425
51 258 711
455 392 9249
45 7 7097
16 14 7334
487 51 540
8 300 3834
323 267 2479
153 67 4076
251 495 1148
155 328 5005
336 52 1378
169 323 3500
494 495 2503
30 282 8834
439 275 3995
432 242 2439
488 422 3930
180 2 1570
7 271 9988
388 181 627
48 362 3583
309 2 655
412 332 1841
304 423 7753
153 9 5736
147 209 5922
415 466 2059
463 63 4106
429 228 3925
140 199 4618
125 190 4414
208 244 2567
52 97 25
11 170 1828
405 361 1481
83 369 6147
104 8 4438
187 54 1706
427 86 567
379 493 3226
216 478 4996
359 406 2803
271 338 4356
342 385 7828
242 52 2247
315 372 8531
382 307 9244
87 128 4006
188 110 9243
309 16 6381
379 483 2701
247 201 4630
240 100 7728
7 408 7496
289 85 275
159 319 6008
372 21 8790
437 285 1101
55 244 6762
373 382 8568
117 348 5278
117 415 512
195 274 7526
280 468 5354
427 132 4644
391 242 2649
377 405 4750
252 55 1920
464 387 3458
321 226 4456
261 364 838
201 412 4690
338 293 2864
221 145 4453
89 296 1241
258 287 6654
334 383 5921
313 202 9843
461 198 6000
14 455 1168
464 5 2414
303 367 4461
257 91 7110
482 377 355
486 378 705
88 318 7672
322 163 6648
480 142 9994
23 22 7450
244 238 265
66 415 8241
205 165 9343
355 437 9661
136 171 4665
145 9 4174
59 318 5690
213 19 4620
66 335 3318
59 118 7827
247 321 8091
310 175 1250
317 229 9881
324 187 6849
106 193 3580
210 204 8498
335 397 4320
208 65 4079
381 289 6813
183 63 9142
322 159 9067
114 461 558
249 68 9497
496 100 4446
72 120 1377
219 479 5522
67 173 4253
421 274 3219
495 18 3874
114 335 2767
198 268 2497
342 399 4254
479 288 7177
371 136 4706
392 494 2774
169 71 6886
68 86 1351
407 159 83
436 253 7279
207 385 1424
383 196 8832
184 314 5190
202 133 3050
250 412 3778
313 184 1428
328 196 4322
465 367 4289
252 192 8167
349 194 367
371 314 6493
48 387 6533
217 75 1992
226 459 2476
493 474 310
474 117 44
314 197 6520
335 333 9590
307 373 2690
446 253 3282
271 426 9015
296 234 8723
37 269 3284
346 25 4216
6 303 655
210 420 8858
399 87 3030
4 433 8357
99 245 4509
268 370 5878
397 5 2036
228 236 4051
286 361 1114
291 43 816
168 139 238
15 285 1802
343 182 3017
310 35 9027
307 70 7895
467 163 4016
244 71 7717
158 456 1789
467 230 3260
203 193 1104
333 234 2983
362 49 4044
91 178 8269
15 108 2651
460 75 4758
203 305 4113
31 228 2257
394 92 5581
269 352 4852
424 462 7241
216 240 9518
367 14 1662
392 458 3189
249 461 5342
118 144 9340
428 450 3282
361 328 1813
149 148 5062
386 272 1518
375 260 3800
496 403 9231
194 437 1146
109 67 7268
332 253 1009
78 260 9133
347 406 2024
413 52 7551
395 85 7646
164 362 4552
232 317 794
213 366 6956
237 353 2661
71 172 7290
211 0 2999
408 222 7645
315 388 4036
163 432 9037
284 210 9417
13 101 9154
73 406 437
290 283 7630
259 224 5667
164 330 9792
153 41 5732
97 460 5237
146 439 4947
197 215 4726
310 457 7468
492 13 4890
414 424 7272
137 310 8986
3 431 4797
69 461 8396
223 475 7822
227 327 2563
122 222 6104
31 442 2552
225 405 4993
450 483 7681
143 236 8611
446 283 6056
390 314 4358
414 66 8736
325 408 4804
9 317 3262
445 429 7724
355 32 2671
393 250 8269
196 17 8619
437 294 455
263 215 6373
169 428 7317
101 457 8127
228 449 3618
251 376 7421
171 371 1562
278 74 5678
465 17 2072
108 155 2588
172 162 1751
61 374 1456
74 482 1714
