1000 2513
0 999
12 540 6087
21 876 9495
41 803 4440
290 434 4071
412 936 7908
300 666 4289
608 357 6247
880 616 8338
155 462 7398
755 614 3142
253 105 5329
328 884 8031
256 913 1648
981 786 8315
675 311 1634
89 73 1857
428 111 6589
739 418 -722
517 400 3498
476 343 4691
593 335 6746
192 763 4839
956 18 8611
14 275 7703
520 246 4734
88 792 2354
575 250 1225
207 989 8044
634 934 4289
632 806 -22
229 646 -40
699 167 4211
441 221 6297
217 16 3713
742 948 9365
136 393 1635
91 955 5519
838 92 5175
86 439 5135
449 142 8638
322 293 9478
309 304 7884
763 273 3083
48 238 1409
380 865 2994
402 739 4748
139 342 9117
42 201 4313
590 78 9163
363 252 9456
799 596 1219
620 289 2635
878 953 7226
122 785 9756
568 601 1948
934 59 2067
600 108 9522
867 979 6071
736 967 6599
991 214 2483
381 956 6702
528 802 9187
63 546 3267
683 773 6585
230 382 -678
622 866 6978
740 300 1740
12 342 9677
201 421 6709
52 336 3389
880 324 7875
310 24 -638
917 655 5257
978 835 4157
811 955 -156
909 775 2400
530 546 9938
394 289 5962
465 176 1065
826 669 9394
753 591 8645
36 473 9510
805 982 8233
630 41 1083
325 162 6542
276 25 6170
56 519 7339
671 51 -344
231 153 4627
51 913 1003
235 189 6922
314 483 7629
538 157 3221
972 625 7634
267 774 6782
829 500 8496
123 896 -391
672 321 1862
245 439 6067
653 74 -879
968 944 6894
752 296 8378
761 579 5399
742 656 -926
515 433 5328
288 421 3727
765 444 4676
61 1 6573
479 758 4781
616 861 1226
567 646 6757
650 870 7981
609 121 8105
250 1 5430
596 780 -391
950 962 8218
681 773 -493
427 301 1522
806 980 7800
311 123 6538
158 16 9485
31 694 3730
693 543 -293
312 992 4465
999 296 5553
872 473 3166
144 694 5565
494 797 2282
263 642 -624
4 385 1627
798 436 7611
761 994 -353
157 668 9196
470 308 4950
258 878 2632
860 125 4823
567 670 7081
335 668 6719
426 888 1056
987 105 5875
782 778 6192
610 664 2318
571 743 7142
604 294 8381
801 632 8473
569 429 1377
941 449 6722
327 824 9764
838 458 4154
695 434 3237
747 221 2259
31 62 3159
783 47 5375
607 839 1874
2 367 -611
975 680 8279
993 803 2192
621 16 8340
457 747 9353
129 272 7289
153 689 -682
360 476 4079
234 689 2786
473 476 2592
364 39 4295
336 407 2918
244 457 6495
165 459 5226
202 391 4156
348 58 4887
173 610 6211
690 735 6000
776 41 1304
795 967 2815
873 587 3012
78 435 1026
115 303 -610
753 593 6095
823 665 3671
963 996 3472
38 297 6762
198 331 5572
43 772 -636
229 876 6221
316 840 1576
289 669 6880
507 997 8657
989 199 8643
176 239 6752
283 646 6313
67 413 7141
676 538 2868
307 784 1208
576 174 9021
929 251 1096
892 158 -257
915 39 6296
524 974 8500
634 32 4425
406 224 9105
712 432 9530
423 189 3238
898 746 1710
624 671 7517
209 456 5312
38 845 1417
636 895 9930
989 45 -436
322 799 9445
117 706 6264
215 206 8370
143 554 8688
181 790 3546
268 400 3600
110 573 -317
326 813 5340
758 601 9875
68 55 3475
882 476 4872
103 613 9470
516 675 1269
565 174 2359
932 977 8879
687 298 8102
98 231 -694
22 507 2822
706 27 8667
81 721 2839
298 474 -179
957 814 3904
906 136 -640
348 879 5886
295 867 4447
453 3 7421
344 415 7888
712 305 3013
481 748 1990
186 170 8195
734 19 2857
903 121 6468
750 340 7872
791 914 6818
969 422 4436
488 600 6984
934 52 8845
949 976 3931
749 49 6259
296 966 2501
471 759 4368
17 221 -352
86 72 8784
854 513 -129
588 442 2907
94 834 -274
61 512 4124
652 651 7215
434 906 1293
28 401 1451
305 168 7435
624 599 9498
103 537 1923
850 835 -584
455 667 -565
831 451 2798
103 178 3690
477 232 3907
277 3 3467
73 408 3553
404 435 7999
194 672 3838
905 104 9352
478 699 2233
657 331 4138
722 223 1668
177 842 5109
542 480 3995
128 80 1792
130 707 8377
543 399 8445
993 708 -631
234 481 2807
455 957 1847
684 1 1107
378 384 6435
495 955 4600
96 200 2549
900 339 5862
284 372 2452
75 794 9858
963 170 6791
990 366 5313
89 149 7429
510 888 7969
11 441 2482
211 509 2037
586 773 2047
714 289 4107
724 694 8359
7 579 1071
536 405 3648
410 820 -269
276 119 3472
847 333 7845
222 78 2955
921 603 7538
189 428 6089
619 304 1072
888 336 1498
985 779 5462
765 104 -805
152 484 -446
447 505 8575
245 677 5259
178 504 1775
96 581 9805
639 129 6497
789 967 1062
572 605 8459
306 645 5352
509 964 6111
649 639 8712
242 685 4137
533 603 5022
191 77 4021
861 985 8328
897 464 5109
197 780 1340
739 531 5683
729 214 3949
497 307 2554
219 816 8368
132 9 7172
912 548 3159
892 888 7686
994 532 2179
740 38 1878
221 877 7780
183 309 7311
484 255 5360
282 195 3882
992 790 5468
491 283 5238
816 855 8430
248 26 3812
8 410 7913
528 663 3591
255 635 1617
973 758 9079
898 874 4786
518 971 6455
920 449 5763
731 999 2971
738 656 8402
337 303 6986
862 525 2408
665 967 4989
587 995 2019
216 939 1840
529 192 8384
337 367 8721
582 537 9657
250 174 2005
163 84 6057
556 707 -49
725 203 8843
426 47 5569
748 290 3613
34 847 4435
66 774 2382
866 183 1458
926 684 8138
578 812 6210
447 829 4216
733 444 -319
53 725 2453
933 544 2394
562 641 6597
995 163 5764
124 586 5697
911 953 1062
527 22 -5
847 602 4446
215 858 7514
874 403 5032
646 663 4673
642 163 6529
506 318 8480
347 359 4824
478 804 6076
366 917 1977
595 300 7266
526 340 7114
680 915 5500
692 961 1276
350 404 5617
40 273 4410
307 3 5389
452 969 8961
698 7 8664
984 210 2480
237 350 5922
817 500 6681
704 203 6165
628 485 3987
558 360 5951
786 534 9934
870 519 1377
590 643 1188
541 85 6926
93 845 7455
529 404 6632
978 643 9520
466 47 2447
810 493 4695
415 453 9057
248 927 9880
670 220 4682
242 948 5277
459 774 5736
137 852 4034
107 48 1192
325 792 8913
777 396 4398
793 379 6974
509 687 8570
985 563 1639
319 152 4974
979 962 6561
751 828 3763
625 73 1336
803 214 4092
983 72 1270
387 11 9463
728 654 3649
618 890 1796
901 388 9040
885 259 2635
361 774 -824
76 885 9585
177 950 9646
502 48 2463
935 192 -361
849 833 4305
568 292 7508
917 308 9152
845 37 4073
338 795 9444
430 244 2649
651 258 4908
969 415 2934
352 472 -17
560 509 -589
210 945 -187
508 711 3069
51 84 2692
784 176 7138
176 630 8620
787 403 3393
193 538 8136
372 863 2913
410 542 4582
602 520 6777
904 59 4061
694 749 -551
46 961 8832
602 898 7553
180 940 2243
705 621 4642
900 600 7449
158 341 9830
525 892 8635
661 551 -419
730 774 4685
320 207 -486
139 951 8848
806 52 9916
72 999 3463
792 100 3700
79 779 4297
458 396 7897
525 213 4181
300 288 1956
472 524 7517
937 166 3267
32 394 6135
95 400 5502
179 616 1404
605 642 8938
257 934 4705
939 714 1331
275 41 7792
496 384 8707
341 959 6253
151 110 6965
154 925 2297
762 453 4235
423 183 6488
407 562 8928
580 575 1214
697 144 -429
834 520 -805
792 522 5651
350 36 8810
62 830 -417
294 102 4264
451 453 1668
941 456 5205
436 596 -580
784 112 7555
667 595 6655
593 126 8245
185 947 2500
620 263 6951
230 366 2298
499 817 4763
277 664 3551
635 420 5258
652 334 9315
664 435 6626
487 144 3310
254 17 8504
807 773 6521
955 430 -477
25 306 5536
702 297 8948
218 356 7322
292 873 -40
232 949 7665
835 574 8878
786 787 5454
849 923 3657
841 996 4021
435 283 9582
881 880 -412
425 866 2461
552 958 3353
121 973 6835
57 605 4382
111 519 -678
549 156 7497
317 150 1099
324 893 6494
222 854 -40
100 780 1161
675 504 9643
886 23 6122
673 184 9581
839 863 4173
598 277 5507
627 810 9044
594 96 2171
612 236 8461
4 568 5146
365 912 4458
448 534 3475
395 931 3879
175 762 4443
645 768 7438
684 837 5295
306 124 3469
960 583 -497
413 758 9609
432 506 3900
468 335 5350
499 198 8916
786 391 1541
659 400 6798
334 320 8247
555 956 5557
923 131 9290
150 110 7180
311 530 5754
920 685 4136
885 838 2668
791 13 -882
243 218 9661
846 406 1578
281 949 7213
126 966 5042
301 945 1519
56 138 3808
658 525 7422
152 133 9680
937 818 7919
186 927 2105
124 84 8901
868 469 2737
265 373 2336
544 356 -93
228 506 4177
729 354 4758
859 565 2295
598 932 1794
570 202 4866
361 549 6361
225 641 5733
864 225 3701
483 703 4407
482 21 5024
538 544 -863
422 902 7829
566 785 3212
781 914 3565
725 612 7871
928 75 4309
157 94 6356
574 408 1917
255 757 4297
10 719 1073
405 972 3510
127 834 3879
473 448 -991
172 417 1954
166 359 5425
419 802 9153
402 483 6829
829 242 5936
165 276 3903
650 131 8221
501 24 2380
561 874 3396
221 114 6764
693 954 9795
5 77 1715
531 602 3782
311 632 6390
282 893 8234
542 444 -192
45 869 4915
217 213 -432
573 561 9878
125 809 9101
726 906 -358
95 49 2323
868 202 4719
72 558 1358
670 208 8207
201 849 8845
172 274 5640
60 823 5100
240 224 2503
948 44 1666
675 582 8706
865 435 6345
830 306 2133
871 531 7621
49 906 5202
209 671 2636
961 569 2845
822 14 7957
757 189 4646
2 549 9249
850 602 6246
530 999 1719
802 835 1494
522 780 5901
394 24 4770
589 247 2473
498 574 1318
135 952 8760
206 326 7445
80 844 4887
12 972 9562
214 363 9770
462 428 -374
656 792 4136
160 984 1574
97 445 7073
343 820 8069
141 827 -516
711 266 5184
417 181 2505
20 131 -11
183 111 8302
869 632 8056
118 280 6114
998 608 1714
940 376 4197
793 242 1765
263 791 7391
650 575 7254
892 641 2082
80 924 6061
251 845 -136
919 731 5000
485 475 5886
997 833 1459
106 160 8583
719 324 9207
886 783 8168
302 939 2470
684 907 8186
297 354 1526
523 397 6956
377 735 8398
416 582 4357
835 188 4721
431 707 3695
168 173 2047
110 217 6156
921 325 6159
833 33 8159
517 35 5981
683 89 8670
429 105 2416
549 220 3789
936 235 9512
560 310 -560
809 897 8356
333 137 5398
150 726 2618
58 286 3037
44 432 3095
974 21 5653
451 936 2683
30 47 2397
316 908 8785
91 282 7615
422 995 9074
195 690 4759
901 380 5764
198 974 7061
793 719 2678
239 507 1315
837 643 2259
670 899 6659
75 361 1195
102 289 9660
913 441 9433
800 325 3447
865 230 1261
347 674 7696
700 450 1512
696 344 2940
903 221 6728
384 210 2572
988 589 5942
514 295 5821
127 765 3413
57 61 3149
899 748 9927
747 260 8376
924 525 4133
547 371 1647
619 340 3760
953 946 9092
541 934 3729
385 243 1752
308 352 5670
70 609 -114
548 121 5073
824 285 6585
250 526 5726
88 407 7250
561 841 7516
972 859 7569
695 318 6590
291 41 2558
128 651 7455
705 722 7916
271 397 7571
635 62 1302
604 130 1661
576 30 8865
899 424 -443
828 903 9000
384 706 2397
848 206 -59
249 800 -456
54 741 -710
