500 1248
67 361
187 202 4390
370 436 823
184 328 6833
163 266 8014
219 434 4282
278 160 1719
2 267 9221
195 32 7585
442 261 7841
157 212 4036
382 165 2920
163 407 2852
260 355 3839
283 265 4603
295 159 9455
300 192 -728
104 150 2699
396 12 5100
278 210 2999
186 484 4346
254 221 4220
202 92 4064
11 286 -317
183 74 8611
53 326 8435
153 315 667
377 82 9369
212 387 4386
459 382 -243
394 453 3098
310 437 5342
62 468 2116
171 257 -461
148 470 8571
63 62 8121
305 302 7436
208 93 7271
174 172 1751
323 47 8323
460 133 81
468 179 6053
360 332 5117
277 122 2658
180 235 3466
248 179 7422
179 483 9587
397 469 5908
272 319 9407
490 35 7045
137 318 3529
339 283 7625
194 382 7370
261 74 3974
447 322 1472
182 230 9389
192 495 1746
46 26 1722
25 416 2727
265 304 4711
33 375 6432
93 238 -521
466 359 3726
140 123 5958
401 269 589
51 400 86
492 450 3938
195 335 8151
304 79 624
287 164 7920
130 216 1939
329 215 6968
444 165 7433
74 477 666
411 190 -343
355 188 2920
313 487 1560
248 171 6704
350 386 2142
46 432 494
125 468 5856
39 412 3590
427 462 6759
177 316 4933
429 181 6398
236 424 1932
245 445 3624
313 463 1950
410 399 7405
165 415 7026
69 234 3791
292 321 9668
262 81 1847
113 424 6157
394 244 -307
290 381 1799
426 236 7857
285 337 1456
420 381 6020
386 77 2501
124 450 3809
149 206 4961
77 8 4306
109 333 1259
248 421 1799
161 421 6177
47 112 9643
397 210 -358
399 249 -232
428 9 4558
121 199 4481
162 130 4815
188 22 6399
38 174 6047
333 300 4901
430 303 3584
17 358 7768
393 111 2109
301 112 2425
235 186 9501
185 94 974
172 448 4732
110 135 3301
345 483 4760
82 396 5950
249 469 6233
271 371 5623
330 60 2905
3 129 -353
299 156 1060
63 186 1610
263 295 8815
376 48 6403
98 188 2978
219 283 5193
479 494 3806
260 470 3922
110 57 5748
457 474 -727
224 173 995
7 444 3126
1 421 686
221 288 6979
274 368 7814
36 177 4895
45 175 1072
201 13 3357
312 428 141
441 81 1740
94 410 9118
372 258 1613
49 447 4491
256 235 4945
268 319 7087
106 81 8945
422 209 4839
92 472 1649
429 260 1980
495 138 3334
208 404 6256
207 212 457
323 248 3572
462 113 7034
85 440 2516
344 454 4902
356 359 8636
245 442 3820
237 2 7352
470 301 2652
498 258 9197
175 280 659
465 485 4277
284 176 3109
294 158 2481
425 141 -984
221 192 3467
317 334 5234
87 421 6012
281 191 -661
491 487 5137
0 107 -131
336 46 484
202 317 3148
45 76 6039
298 22 8534
467 383 8591
293 69 455
178 236 5291
220 462 8861
462 405 5706
423 51 4792
332 475 5975
214 164 -867
292 212 8017
228 325 9442
238 300 2114
281 415 4739
213 277 8411
226 317 645
168 407 7560
34 142 245
472 400 6469
232 14 61
150 446 6807
133 77 1781
456 218 4598
90 123 222
106 447 5431
244 127 5995
498 415 9658
203 327 5670
86 109 8635
335 406 8239
433 175 7615
97 390 5319
350 281 8133
239 282 398
114 347 6991
176 247 -277
453 153 2935
499 269 1594
266 36 6322
214 384 3165
270 487 9353
342 311 2932
197 368 738
107 117 4168
238 11 1400
211 181 3143
164 355 -727
61 114 4016
268 164 510
23 146 2879
24 36 -750
388 404 -78
82 10 6728
466 292 5737
319 185 7492
150 118 3725
58 427 8915
198 0 3648
461 130 9208
467 222 4098
218 165 498
205 274 5636
307 303 928
317 190 5392
261 187 2390
447 160 9578
184 361 5223
280 18 8999
233 166 2320
39 206 3573
154 329 7776
496 300 165
448 198 9623
142 119 -605
327 435 3459
451 344 6240
129 386 994
169 347 3955
104 431 4272
481 232 3543
128 304 153
290 167 -608
32 234 9397
225 241 5187
12 13 6770
486 30 8727
371 327 -697
171 432 5381
430 493 3067
297 125 2565
158 465 35
246 474 -113
277 51 4328
441 412 2123
378 491 2145
488 176 4363
48 312 3907
143 310 4897
382 465 8005
79 271 1850
311 227 21
287 486 232
40 60 9843
97 82 8303
291 217 3452
164 229 6643
464 234 4775
362 283 5233
123 366 4301
379 84 1928
395 128 280
492 325 2466
3 297 1382
373 350 3226
46 143 9828
287 106 5849
406 225 2072
497 94 -774
339 349 8925
378 163 2070
413 227 1945
127 230 2197
57 282 9086
370 149 6670
28 332 8225
309 194 142
59 224 3817
193 258 1682
412 353 8193
435 158 9749
391 118 7894
306 446 170
226 69 -179
138 459 5532
352 477 5127
253 48 4521
383 418 3860
405 95 3168
31 100 4885
20 474 4518
469 341 6723
80 143 7329
198 289 8232
368 119 9764
269 187 8535
18 273 1334
5 367 1896
357 187 9599
121 22 7069
136 117 -11
5 69 1863
402 446 1662
74 216 1927
480 163 1065
318 205 7352
160 23 7887
379 349 -965
446 358 7189
163 452 6163
482 485 172
135 391 799
459 90 9425
18 222 6473
289 277 6728
95 11 2862
76 495 -902
183 309 9593
417 497 8646
361 306 4320
241 321 7733
188 317 9540
145 275 8808
252 42 1740
12 319 5795
491 111 3567
330 283 5284
349 50 5277
185 171 1955
117 242 7768
424 331 2638
216 89 6040
139 174 6594
194 94 9012
